Sumber,Komoditi,Tingkat,Provinsi,Tanggal,Harga
SP2KP,Telur Ayam Ras,Konsumen,Sintang,2026-01-02,38400.0
SP2KP,Telur Ayam Ras,Konsumen,Kapuas Hulu,2026-01-02,35200.0
SP2KP,Telur Ayam Ras,Konsumen,Bengkayang,2026-01-02,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Landak,2026-01-02,37400.0
SP2KP,Telur Ayam Ras,Konsumen,Sekadau,2026-01-02,38000.0
SP2KP,Telur Ayam Ras,Konsumen,Melawi,2026-01-02,36800.0
SP2KP,Telur Ayam Ras,Konsumen,Kayong Utara,2026-01-02,40000.0
SP2KP,Telur Ayam Ras,Konsumen,Kubu Raya,2026-01-02,33000.0
SP2KP,Telur Ayam Ras,Konsumen,Pontianak,2026-01-02,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Singkawang,2026-01-02,33000.0
Panel Harga,Daging Sapi,Konsumen,Provinsi,2026-01-02,154348.0
Panel Harga,Daging Sapi,Konsumen,Ketapang,2026-01-02,150000.0
Panel Harga,Daging Sapi,Konsumen,Kubu Raya,2026-01-02,160000.0
Panel Harga,Daging Sapi,Konsumen,Melawi,2026-01-02,160000.0
Panel Harga,Daging Sapi,Konsumen,Mempawah,2026-01-02,150000.0
Panel Harga,Daging Sapi,Konsumen,Sanggau,2026-01-02,160000.0
Panel Harga,Daging Sapi,Konsumen,Sekadau,2026-01-02,160000.0
Panel Harga,Daging Sapi,Konsumen,Sintang,2026-01-02,150000.0
Panel Harga,Daging Sapi,Konsumen,Kota Pontianak,2026-01-02,155000.0
Panel Harga,Daging Ayam Ras,Konsumen,Provinsi,2026-01-02,44774.0
Panel Harga,Daging Ayam Ras,Konsumen,Kapuas Hulu,2026-01-02,50000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-02,43000.0
Panel Harga,Daging Ayam Ras,Konsumen,Ketapang,2026-01-02,46800.0
Panel Harga,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-02,40000.0
Panel Harga,Daging Ayam Ras,Konsumen,Mempawah,2026-01-02,37000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sanggau,2026-01-02,45000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sekadau,2026-01-02,47500.0
Panel Harga,Daging Ayam Ras,Konsumen,Sintang,2026-01-02,44250.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Pontianak,2026-01-02,43500.0
Panel Harga,Telur Ayam Ras,Konsumen,Provinsi,2026-01-02,35596.0
Panel Harga,Telur Ayam Ras,Konsumen,Kapuas Hulu,2026-01-02,34133.0
Panel Harga,Telur Ayam Ras,Konsumen,Kayong Utara,2026-01-02,37333.0
Panel Harga,Telur Ayam Ras,Konsumen,Ketapang,2026-01-02,36600.0
Panel Harga,Telur Ayam Ras,Konsumen,Kubu Raya,2026-01-02,34500.0
Panel Harga,Telur Ayam Ras,Konsumen,Melawi,2026-01-02,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Mempawah,2026-01-02,34500.0
Panel Harga,Telur Ayam Ras,Konsumen,Sanggau,2026-01-02,35377.0
Panel Harga,Telur Ayam Ras,Konsumen,Sekadau,2026-01-02,36944.0
Panel Harga,Telur Ayam Ras,Konsumen,Sintang,2026-01-02,35600.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Pontianak,2026-01-02,35000.0
Panel Harga,Jagung Tk Peternak,Konsumen,Provinsi,2026-01-02,6800.0
PIHPS,Daging Ayam Ras Segar,Pasar Tradisional,Provinsi,2026-01-02,38250.0
PIHPS,Daging Ayam Ras Segar,Pasar Modern,Provinsi,2026-01-02,39900.0
PIHPS,Daging Ayam Ras Segar,Pasar Modern,Kota Singkawang,2026-01-02,39900.0
PIHPS,Daging Sapi Kuailitas I,Pasar Tradisional,Provinsi,2026-01-02,157500.0
PIHPS,Daging Sapi Kuailitas I,Pasar Modern,Provinsi,2026-01-02,128000.0
PIHPS,Daging Sapi Kuailitas I,Pasar Modern,Kota Singkawang,2026-01-02,128000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Tradisional,Provinsi,2026-01-02,141650.0
PIHPS,Daging Sapi Kuailitas II,Pasar Modern,Provinsi,2026-01-02,156000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Modern,Kota Singkawang,2026-01-02,156000.0
PIHPS,Telur Ayam Ras Segar,Pasar Tradisional,Provinsi,2026-01-02,34950.0
PIHPS,Telur Ayam Ras Segar,Pasar Modern,Provinsi,2026-01-02,34500.0
PIHPS,Telur Ayam Ras Segar,Pasar Modern,Kota Singkawang,2026-01-02,34500.0
Panel Harga,Daging Sapi,Konsumen,Provinsi,2026-01-03,155185.0
Panel Harga,Daging Sapi,Konsumen,Kayong Utara,2026-01-03,160000.0
Panel Harga,Daging Sapi,Konsumen,Ketapang,2026-01-03,150000.0
Panel Harga,Daging Sapi,Konsumen,Kubu Raya,2026-01-03,160000.0
Panel Harga,Daging Sapi,Konsumen,Melawi,2026-01-03,160000.0
Panel Harga,Daging Sapi,Konsumen,Mempawah,2026-01-03,150000.0
Panel Harga,Daging Sapi,Konsumen,Sambas,2026-01-03,160000.0
Panel Harga,Daging Sapi,Konsumen,Sanggau,2026-01-03,160000.0
Panel Harga,Daging Sapi,Konsumen,Sekadau,2026-01-03,165000.0
Panel Harga,Daging Sapi,Konsumen,Sintang,2026-01-03,150000.0
Panel Harga,Daging Sapi,Konsumen,Kota Pontianak,2026-01-03,155000.0
Panel Harga,Daging Ayam Ras,Konsumen,Provinsi,2026-01-03,44977.0
Panel Harga,Daging Ayam Ras,Konsumen,Kapuas Hulu,2026-01-03,50000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-03,44000.0
Panel Harga,Daging Ayam Ras,Konsumen,Ketapang,2026-01-03,46600.0
Panel Harga,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-03,42000.0
Panel Harga,Daging Ayam Ras,Konsumen,Landak,2026-01-03,40000.0
Panel Harga,Daging Ayam Ras,Konsumen,Melawi,2026-01-03,50000.0
Panel Harga,Daging Ayam Ras,Konsumen,Mempawah,2026-01-03,37500.0
Panel Harga,Daging Ayam Ras,Konsumen,Sambas,2026-01-03,45000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sanggau,2026-01-03,45000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sekadau,2026-01-03,48333.0
Panel Harga,Daging Ayam Ras,Konsumen,Sintang,2026-01-03,445000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Pontianak,2026-01-03,43500.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Singkawang,2026-01-03,43000.0
Panel Harga,Telur Ayam Ras,Konsumen,Provinsi,2026-01-03,35416.0
Panel Harga,Telur Ayam Ras,Konsumen,Kapuas Hulu,2026-01-03,34133.0
Panel Harga,Telur Ayam Ras,Konsumen,Kayong Utara,2026-01-03,37400.0
Panel Harga,Telur Ayam Ras,Konsumen,Ketapang,2026-01-03,36517.0
Panel Harga,Telur Ayam Ras,Konsumen,Kubu Raya,2026-01-03,33000.0
Panel Harga,Telur Ayam Ras,Konsumen,Melawi,2026-01-03,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Mempawah,2026-01-03,34500.0
Panel Harga,Telur Ayam Ras,Konsumen,Sambas,2026-01-03,33000.0
Panel Harga,Telur Ayam Ras,Konsumen,Sanggau,2026-01-03,35377.0
Panel Harga,Telur Ayam Ras,Konsumen,Sekadau,2026-01-03,36944.0
Panel Harga,Telur Ayam Ras,Konsumen,Sintang,2026-01-03,35520.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Pontianak,2026-01-03,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Singkawang,2026-01-03,33000.0
Panel Harga,Jagung Tk Peternak,Konsumen,Provinsi,2026-01-03,6800.0
Panel Harga,Jagung Tk Peternak,Konsumen,Kota Singkawang,2026-01-03,6800.0
Panel Harga,Daging Sapi,Konsumen,Provinsi,2026-01-04,155833.0
Panel Harga,Daging Sapi,Konsumen,Ketapang,2026-01-04,150000.0
Panel Harga,Daging Sapi,Konsumen,Kubu Raya,2026-01-04,160000.0
Panel Harga,Daging Sapi,Konsumen,Landak,2026-01-04,161667.0
Panel Harga,Daging Sapi,Konsumen,Melawi,2026-01-04,160000.0
Panel Harga,Daging Sapi,Konsumen,Mempawah,2026-01-04,150000.0
Panel Harga,Daging Sapi,Konsumen,Sambas,2026-01-04,160000.0
Panel Harga,Daging Sapi,Konsumen,Sanggau,2026-01-04,160000.0
Panel Harga,Daging Sapi,Konsumen,Sekadau,2026-01-04,165000.0
Panel Harga,Daging Sapi,Konsumen,Sintang,2026-01-04,150000.0
Panel Harga,Daging Sapi,Konsumen,Kota Pontianak,2026-01-04,155000.0
Panel Harga,Daging Sapi,Konsumen,Kota Singkawang,2026-01-04,160000.0
Panel Harga,Daging Ayam Ras,Konsumen,Provinsi,2026-01-04,44436.0
Panel Harga,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-04,44000.0
Panel Harga,Daging Ayam Ras,Konsumen,Ketapang,2026-01-04,50800.0
Panel Harga,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-04,42000.0
Panel Harga,Daging Ayam Ras,Konsumen,Landak,2026-01-04,42333.0
Panel Harga,Daging Ayam Ras,Konsumen,Melawi,2026-01-04,50000.0
Panel Harga,Daging Ayam Ras,Konsumen,Mempawah,2026-01-04,37500.0
Panel Harga,Daging Ayam Ras,Konsumen,Sambas,2026-01-04,44000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sanggau,2026-01-04,45000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sekadau,2026-01-04,48333.0
Panel Harga,Daging Ayam Ras,Konsumen,Sintang,2026-01-04,44000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Pontianak,2026-01-04,41000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Singkawang,2026-01-04,42500.0
Panel Harga,Telur Ayam Ras,Konsumen,Provinsi,2026-01-04,35302.0
Panel Harga,Telur Ayam Ras,Konsumen,Kayong Utara,2026-01-04,37400.0
Panel Harga,Telur Ayam Ras,Konsumen,Ketapang,2026-01-04,36517.0
Panel Harga,Telur Ayam Ras,Konsumen,Kubu Raya,2026-01-04,33000.0
Panel Harga,Telur Ayam Ras,Konsumen,Landak,2026-01-04,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Melawi,2026-01-04,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Mempawah,2026-01-04,34333.0
Panel Harga,Telur Ayam Ras,Konsumen,Sambas,2026-01-04,32667.0
Panel Harga,Telur Ayam Ras,Konsumen,Sanggau,2026-01-04,35377.0
Panel Harga,Telur Ayam Ras,Konsumen,Sekadau,2026-01-04,36944.0
Panel Harga,Telur Ayam Ras,Konsumen,Sintang,2026-01-04,35733.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Pontianak,2026-01-04,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Singkawang,2026-01-04,33333.0
Panel Harga,Jagung Tk Peternak,Konsumen,Provinsi,2026-01-04,6800.0
Panel Harga,Jagung Tk Peternak,Konsumen,Kota Singkawang,2026-01-04,6800.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Provinsi,2026-01-05,154000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sambas,2026-01-05,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Mempawah,2026-01-05,140000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sanggau,2026-01-05,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Ketapang,2026-01-05,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sintang,2026-01-05,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kapuas Hulu,2026-01-05,180000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Bengkayang,2026-01-05,170000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Landak,2026-01-05,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sekadau,2026-01-05,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Melawi,2026-01-05,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kayong Utara,2026-01-05,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kubu Raya,2026-01-05,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Pontianak,2026-01-05,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Singkawang,2026-01-05,160000.0
SP2KP,Daging Ayam Ras,Konsumen,Provinsi,2026-01-05,48667.0
SP2KP,Daging Ayam Ras,Konsumen,Sambas,2026-01-05,43000.0
SP2KP,Daging Ayam Ras,Konsumen,Mempawah,2026-01-05,38000.0
SP2KP,Daging Ayam Ras,Konsumen,Sanggau,2026-01-05,43000.0
SP2KP,Daging Ayam Ras,Konsumen,Ketapang,2026-01-05,48000.0
SP2KP,Daging Ayam Ras,Konsumen,Sintang,2026-01-05,46000.0
SP2KP,Daging Ayam Ras,Konsumen,Kapuas Hulu,2026-01-05,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Bengkayang,2026-01-05,47000.0
SP2KP,Daging Ayam Ras,Konsumen,Landak,2026-01-05,48000.0
SP2KP,Daging Ayam Ras,Konsumen,Sekadau,2026-01-05,46000.0
SP2KP,Daging Ayam Ras,Konsumen,Melawi,2026-01-05,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-05,50000.0
SP2KP,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-05,39000.0
SP2KP,Daging Ayam Ras,Konsumen,Pontianak,2026-01-05,44333.0
SP2KP,Daging Ayam Ras,Konsumen,Singkawang,2026-01-05,55000.0
SP2KP,Telur Ayam Ras,Konsumen,Provinsi,2026-01-05,36560.0
SP2KP,Telur Ayam Ras,Konsumen,Sambas,2026-01-05,33000.0
SP2KP,Telur Ayam Ras,Konsumen,Mempawah,2026-01-05,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Sanggau,2026-01-05,32000.0
SP2KP,Telur Ayam Ras,Konsumen,Ketapang,2026-01-05,40000.0
SP2KP,Telur Ayam Ras,Konsumen,Sintang,2026-01-05,36800.0
SP2KP,Telur Ayam Ras,Konsumen,Kapuas Hulu,2026-01-05,35200.0
SP2KP,Telur Ayam Ras,Konsumen,Bengkayang,2026-01-05,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Landak,2026-01-05,37400.0
SP2KP,Telur Ayam Ras,Konsumen,Sekadau,2026-01-05,38000.0
SP2KP,Telur Ayam Ras,Konsumen,Melawi,2026-01-05,36800.0
SP2KP,Telur Ayam Ras,Konsumen,Kayong Utara,2026-01-05,40000.0
SP2KP,Telur Ayam Ras,Konsumen,Kubu Raya,2026-01-05,33000.0
SP2KP,Telur Ayam Ras,Konsumen,Pontianak,2026-01-05,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Singkawang,2026-01-05,32000.0
Panel Harga,Daging Sapi,Konsumen,Provinsi,2026-01-05,155781.0
Panel Harga,Daging Sapi,Konsumen,Kayong Utara,2026-01-05,160000.0
Panel Harga,Daging Sapi,Konsumen,Ketapang,2026-01-05,150000.0
Panel Harga,Daging Sapi,Konsumen,Kubu Raya,2026-01-05,160000.0
Panel Harga,Daging Sapi,Konsumen,Landak,2026-01-05,161667.0
Panel Harga,Daging Sapi,Konsumen,Melawi,2026-01-05,160000.0
Panel Harga,Daging Sapi,Konsumen,Mempawah,2026-01-05,150000.0
Panel Harga,Daging Sapi,Konsumen,Sambas,2026-01-05,160000.0
Panel Harga,Daging Sapi,Konsumen,Sanggau,2026-01-05,160000.0
Panel Harga,Daging Sapi,Konsumen,Sekadau,2026-01-05,165000.0
Panel Harga,Daging Sapi,Konsumen,Sintang,2026-01-05,150000.0
Panel Harga,Daging Sapi,Konsumen,Kota Pontianak,2026-01-05,155000.0
Panel Harga,Daging Sapi,Konsumen,Kota Singkawang,2026-01-05,160000.0
Panel Harga,Daging Ayam Ras,Konsumen,Provinsi,2026-01-05,46935.0
Panel Harga,Daging Ayam Ras,Konsumen,Bengkayang,2026-01-05,45000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-05,44000.0
Panel Harga,Daging Ayam Ras,Konsumen,Ketapang,2026-01-05,50600.0
Panel Harga,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-05,42000.0
Panel Harga,Daging Ayam Ras,Konsumen,Landak,2026-01-05,42333.0
Panel Harga,Daging Ayam Ras,Konsumen,Melawi,2026-01-05,50000.0
Panel Harga,Daging Ayam Ras,Konsumen,Mempawah,2026-01-05,37667.0
Panel Harga,Daging Ayam Ras,Konsumen,Sambas,2026-01-05,42000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sanggau,2026-01-05,83000.0
Panel Harga,Daging Ayam Ras,Konsumen,Sekadau,2026-01-05,48333.0
Panel Harga,Daging Ayam Ras,Konsumen,Sintang,2026-01-05,44500.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Pontianak,2026-01-05,42000.0
Panel Harga,Daging Ayam Ras,Konsumen,Kota Singkawang,2026-01-05,42500.0
Panel Harga,Telur Ayam Ras,Konsumen,Provinsi,2026-01-05,35080.0
Panel Harga,Telur Ayam Ras,Konsumen,Bengkayang,2026-01-05,34333.0
Panel Harga,Telur Ayam Ras,Konsumen,Kayong Utara,2026-01-05,36817.0
Panel Harga,Telur Ayam Ras,Konsumen,Ketapang,2026-01-05,36517.0
Panel Harga,Telur Ayam Ras,Konsumen,Kubu Raya,2026-01-05,33000.0
Panel Harga,Telur Ayam Ras,Konsumen,Landak,2026-01-05,36000.0
Panel Harga,Telur Ayam Ras,Konsumen,Melawi,2026-01-05,35000.0
Panel Harga,Telur Ayam Ras,Konsumen,Mempawah,2026-01-05,34333.0
Panel Harga,Telur Ayam Ras,Konsumen,Sambas,2026-01-05,33000.0
Panel Harga,Telur Ayam Ras,Konsumen,Sanggau,2026-01-05,35333.0
Panel Harga,Telur Ayam Ras,Konsumen,Sekadau,2026-01-05,36944.0
Panel Harga,Telur Ayam Ras,Konsumen,Sintang,2026-01-05,35520.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Pontianak,2026-01-05,34250.0
Panel Harga,Telur Ayam Ras,Konsumen,Kota Singkawang,2026-01-05,33200.0
Panel Harga,Jagung Tk Peternak,Konsumen,Provinsi,2026-01-05,6200.0
Panel Harga,Jagung Tk Peternak,Konsumen,Kota Singkawang,2026-01-05,6200.0
PIHPS,Daging Ayam Ras Segar,Pasar Tradisional,Provinsi,2026-01-05,38450.0
PIHPS,Daging Ayam Ras Segar,Pasar Tradisional,Sintang,2026-01-05,46000.0
PIHPS,Daging Ayam Ras Segar,Pasar Tradisional,Kota Pontianak,2026-01-05,33400.0
PIHPS,Daging Ayam Ras Segar,Pasar Tradisional,Kota Singkawang,2026-01-05,36000.0
PIHPS,Daging Ayam Ras Segar,Pasar Modern,Provinsi,2026-01-05,39900.0
PIHPS,Daging Ayam Ras Segar,Pasar Modern,Kota Singkawang,2026-01-05,39900.0
PIHPS,Daging Sapi Kuailitas I,Pasar Tradisional,Provinsi,2026-01-05,157500.0
PIHPS,Daging Sapi Kuailitas I,Pasar Tradisional,Sintang,2026-01-05,157500.0
PIHPS,Daging Sapi Kuailitas I,Pasar Tradisional,Kota Pontianak,2026-01-05,155000.0
PIHPS,Daging Sapi Kuailitas I,Pasar Tradisional,Kota Singkawang,2026-01-05,160000.0
PIHPS,Daging Sapi Kuailitas I,Pasar Modern,Provinsi,2026-01-05,128000.0
PIHPS,Daging Sapi Kuailitas I,Pasar Modern,Kota Singkawang,2026-01-05,128000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Tradisional,Provinsi,2026-01-05,141650.0
PIHPS,Daging Sapi Kuailitas II,Pasar Tradisional,Sintang,2026-01-05,112500.0
PIHPS,Daging Sapi Kuailitas II,Pasar Tradisional,Kota Pontianak,2026-01-05,152500.0
PIHPS,Daging Sapi Kuailitas II,Pasar Tradisional,Kota Singkawang,2026-01-05,160000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Modern,Provinsi,2026-01-05,156000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Modern,Kota Singkawang,2026-01-05,156000.0
PIHPS,Telur Ayam Ras Segar,Pasar Tradisional,Provinsi,2026-01-05,34800.0
PIHPS,Telur Ayam Ras Segar,Pasar Tradisional,Sintang,2026-01-05,36000.0
PIHPS,Telur Ayam Ras Segar,Pasar Tradisional,Kota Pontianak,2026-01-05,35700.0
PIHPS,Telur Ayam Ras Segar,Pasar Tradisional,Kota Singkawang,2026-01-05,32750.0
PIHPS,Telur Ayam Ras Segar,Pasar Modern,Provinsi,2026-01-05,34500.0
PIHPS,Telur Ayam Ras Segar,Pasar Modern,Kota Singkawang,2026-01-05,34500.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Provinsi,2026-01-06,154000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sambas,2026-01-06,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Mempawah,2026-01-06,140000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sanggau,2026-01-06,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Ketapang,2026-01-06,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sintang,2026-01-06,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kapuas Hulu,2026-01-06,180000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Bengkayang,2026-01-06,170000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Landak,2026-01-06,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sekadau,2026-01-06,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Melawi,2026-01-06,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kayong Utara,2026-01-06,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kubu Raya,2026-01-06,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Pontianak,2026-01-06,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Singkawang,2026-01-06,160000.0
SP2KP,Daging Ayam Ras,Konsumen,Provinsi,2026-01-06,46467.0
SP2KP,Daging Ayam Ras,Konsumen,Sambas,2026-01-06,43000.0
SP2KP,Daging Ayam Ras,Konsumen,Mempawah,2026-01-06,38000.0
SP2KP,Daging Ayam Ras,Konsumen,Sanggau,2026-01-06,43000.0
SP2KP,Daging Ayam Ras,Konsumen,Ketapang,2026-01-06,48000.0
SP2KP,Daging Ayam Ras,Konsumen,Sintang,2026-01-06,46000.0
SP2KP,Daging Ayam Ras,Konsumen,Kapuas Hulu,2026-01-06,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Bengkayang,2026-01-06,47000.0
SP2KP,Daging Ayam Ras,Konsumen,Landak,2026-01-06,48000.0
SP2KP,Daging Ayam Ras,Konsumen,Sekadau,2026-01-06,46000.0
SP2KP,Daging Ayam Ras,Konsumen,Melawi,2026-01-06,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-06,50000.0
SP2KP,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-06,40000.0
SP2KP,Daging Ayam Ras,Konsumen,Pontianak,2026-01-06,43333.0
SP2KP,Daging Ayam Ras,Konsumen,Singkawang,2026-01-06,45000.0
SP2KP,Telur Ayam Ras,Konsumen,Provinsi,2026-01-06,36560.0
SP2KP,Telur Ayam Ras,Konsumen,Sambas,2026-01-06,33000.0
SP2KP,Telur Ayam Ras,Konsumen,Mempawah,2026-01-06,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Sanggau,2026-01-06,32000.0
SP2KP,Telur Ayam Ras,Konsumen,Ketapang,2026-01-06,40000.0
SP2KP,Telur Ayam Ras,Konsumen,Sintang,2026-01-06,36800.0
